timestamp,text,processed_text,vader_scores,neg,neu,pos,compound,sentiment
2025-05-01T09:02:00,You might agree that I'm not impressed with the packaging.,might agree impressed packaging,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.6808}",0.0,0.263,0.737,0.6808,Positive
2025-05-01T09:06:00,Recently I noticed the update made the experience much smoother.,recently noticed update made experience much smoother,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Neutral
2025-05-01T09:07:00,I'm not sure if I didn't expect to like it this much.,sure expect like much,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.5859}",0.0,0.294,0.706,0.5859,Positive
2025-05-01T09:11:00,To be honest I didn't expect to like it this much.,honest expect like much,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",0.0,0.256,0.744,0.7003,Positive
2025-05-01T09:14:00,There's a reason why the update made the experience much smoother.,there's reason update made experience much smoother,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Neutral
2025-05-01T09:18:00,One thing I've seen it lacks basic features that should be standard.,one thing seen lacks basic features standard,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Neutral
2025-05-01T09:21:00,Sometimes it's overpriced for what it actually delivers.,sometimes overpriced actually delivers,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Neutral
2025-05-01T09:25:00,There's no doubt that it's one of the better options available right now.,there's doubt one better options available right,"{'neg': 0.24, 'neu': 0.481, 'pos': 0.279, 'compound': 0.1027}",0.24,0.481,0.279,0.1027,Positive
2025-05-01T09:30:00,Lately I'm not impressed with the packaging.,lately impressed packaging,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.4767}",0.0,0.392,0.608,0.4767,Positive
2025-05-01T09:34:00,Sometimes nothing works as advertised and it's frustrating.,sometimes nothing works advertised frustrating,"{'neg': 0.0, 'neu': 0.624, 'pos': 0.376, 'compound': 0.3412}",0.0,0.624,0.376,0.3412,Positive
2025-05-01T09:36:00,You might agree that it's one of the better options available right now.,might agree one better options available right,"{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.6597}",0.0,0.481,0.519,0.6597,Positive
2025-05-01T09:38:00,I feel like the interface is confusing and cluttered.,feel like interface confusing cluttered,"{'neg': 0.257, 'neu': 0.405, 'pos': 0.338, 'compound': 0.1531}",0.257,0.405,0.338,0.1531,Positive
2025-05-01T09:41:00,I feel like this kind of quality is rare these days.,feel like kind quality rare days,"{'neg': 0.0, 'neu': 0.404, 'pos': 0.596, 'compound': 0.7096}",0.0,0.404,0.596,0.7096,Positive
2025-05-01T09:43:00,Lately the website could use a major redesign.,lately website could use major redesign,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Neutral
2025-05-01T09:44:00,There's no doubt that the update made the experience much smoother.,there's doubt update made experience much smoother,"{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.3612}",0.294,0.706,0.0,-0.3612,Negative
